Regione-Provincia_Autonoma;6M_5A;6A_9A;10A_13A;14A_17A;18A_59A;60A_oltre
Abruzzo;85;272;380;465;3974;596
Basilicata;51;93;126;137;1238;164
Calabria;199;401;457;662;4272;571
Campania;770;1177;1566;1940;16227;1751
Emilia Romagna;408;1052;1662;1959;12483;2095
Friuli Venezia Giulia;61;156;291;345;2766;523
Lazio;491;1171;1616;1984;16744;2594
Liguria;83;181;316;406;4054;948
Lombardia;724;1797;2978;3589;29424;5407
Marche;108;230;410;483;3276;509
Molise;15;32;72;104;747;97
Bolzano;48;123;163;180;1279;271
Trento;42;128;193;225;1869;311
Piemonte;275;549;927;1096;10412;2211
Puglia;444;883;1255;1443;9533;993
Sardegna;91;274;418;486;4794;1309
Sicilia;441;835;1157;1343;12040;2155
Toscana;255;679;1104;1450;12734;2499
Umbria;45;161;244;284;2734;528
Valle D'Aosta;3;25;32;49;434;93
Veneto;310;745;1187;1514;10674;1785
Totale;4949;10964;16554;20144;161708;27410
%;2;5;7;8;67;11
